No.;Time;;;
461;20.002.755;20,002755;20,002755;0
462;20.002.755;20,002755;20,002755;0
463;20.002.755;20,002755;20,002755;0
464;20.002.755;20,002755;20,003025;0,00027
465;20.003.025;20,003025;20,003204;0,000179
466;20.003.204;20,003204;20,003204;0
467;20.003.204;20,003204;20,004716;0,001512
468;20.004.716;20,004716;20,004716;0
469;20.004.716;20,004716;20,004716;0
470;20.004.716;20,004716;20,004716;0
471;20.004.716;20,004716;20,004716;0
472;20.004.716;20,004716;20,004716;0
473;20.004.716;20,004716;20,009111;0,004395
474;20.009.111;20,009111;20,011705;0,002594
475;20.011.705;20,011705;20,01183;0,000125
476;20.011.830;20,01183;20,011893;6,3E-05
477;20.011.893;20,011893;20,013231;0,001338
478;20.013.231;20,013231;20,013231;0
479;20.013.231;20,013231;20,013231;0
480;20.013.231;20,013231;20,015011;0,00178
481;20.015.011;20,015011;20,019998;0,004987
482;20.019.998;20,019998;20,023616;0,003618
483;20.023.616;20,023616;20,033307;0,009691
484;20.033.307;20,033307;20,033307;0
485;20.033.307;20,033307;20,033715;0,000408
486;20.033.715;20,033715;20,042049;0,008334
487;20.042.049;20,042049;20,052966;0,010917
488;20.052.966;20,052966;20,052966;0
489;20.052.966;20,052966;20,052966;0
490;20.052.966;20,052966;20,05326;0,000294
491;20.053.260;20,05326;20,055793;0,002533
492;20.055.793;20,055793;20,092854;0,037061
493;20.092.854;20,092854;20,1105;0,017646
494;20.110.500;20,1105;20,110647;0,000147
495;20.110.647;20,110647;20,110717;7E-05
496;20.110.717;20,110717;20,142937;0,03222
497;20.142.937;20,142937;20,171073;0,028136
498;20.171.073;20,171073;20,227783;0,05671
499;20.227.783;20,227783;20,227783;0
500;20.227.783;20,227783;20,228289;0,000506
501;20.228.289;20,228289;20,228289;0
502;20.228.289;20,228289;20,228854;0,000565
503;20.228.854;20,228854;20,229026;0,000172
504;20.229.026;20,229026;20,229579;0,000553
505;20.229.579;20,229579;20,229579;0
506;20.229.579;20,229579;20,229579;0
507;20.229.579;20,229579;20,229579;0
508;20.229.579;20,229579;20,229579;0
509;20.229.579;20,229579;20,229579;0
510;20.229.579;20,229579;20,230392;0,000813
511;20.230.392;20,230392;20,230392;0
512;20.230.392;20,230392;20,23203;0,001638
513;20.232.030;20,23203;20,23203;0
514;20.232.030;20,23203;20,232609;0,000579
515;20.232.609;20,232609;20,232609;0
516;20.232.609;20,232609;20,235248;0,002639
517;20.235.248;20,235248;20,235513;0,000265
518;20.235.513;20,235513;20,235581;6,8E-05
519;20.235.581;20,235581;20,235644;6,3E-05
520;20.235.644;20,235644;20,235916;0,000272
521;20.235.916;20,235916;20,23635;0,000434
522;20.236.350;20,23635;20,243266;0,006916
523;20.243.266;20,243266;20,243266;0
524;20.243.266;20,243266;20,244406;0,00114
